PepSeq,PepSeqDB,Bioactivity
ARK,ARK,antithrombotic
CIREQSMFMNCNDV,CIREQSMFMNCNDV,antithrombotic
CWMDFS,CWMDFS,antithrombotic
DFIA,DFIA,antithrombotic
EEYYYICMIF,EEYYYICMIF,antithrombotic
ERF,ERF,antithrombotic
ITVGFTEYGCMILIP,ITVGFTEYGCMILIP,antithrombotic
MCKLLINHMQQRS,MCKLLINHMQQRS,antithrombotic
MTWEHDLYQVRKH,MTWEHDLYQVRKH,antithrombotic
NAHQEIC,NAHQEIC,antithrombotic
NCKLTCHHATT,NCKLTCHHATT,antithrombotic
NNCCFDYFMVMK,NNCCFDYFMVMK,antithrombotic
NTLGK,NTLGK,antithrombotic
QYETNIDTCGS,QYETNIDTCGS,antithrombotic
RWRPFL,RWRPFL,antithrombotic
SDKRC,SDKRC,antithrombotic
TLMAKAICCIN,TLMAKAICCIN,antithrombotic
TQVRYLIASDHCKK,TQVRYLIASDHCKK,antithrombotic
VYLQSYDSEKYDNF,VYLQSYDSEKYDNF,antithrombotic
YQCDSYDYWGMRQ,YQCDSYDYWGMRQ,antithrombotic
