PepSeq,PepSeqDB,Bioactivity
AFDTDLDNE,AFDTDLDNE,ACE_inhibitor
ERNAA,ERNAA,ACE_inhibitor
ERPD,ERPD,ACE_inhibitor
ESQNNFV,ESQNNFV,ACE_inhibitor
FRQD,FRQD,ACE_inhibitor
HEKWQFMT,HEKWQFMT,ACE_inhibitor
HGDVAFVH,HGDVAFVH,ACE_inhibitor
ITSIKDRH,ITSIKDRH,ACE_inhibitor
KFCMISASVVHQ,KFCMISASVVHQ,ACE_inhibitor
KWFK,KWFK,ACE_inhibitor
KYVM,KYVM,ACE_inhibitor
MFYQVMP,MFYQVMP,ACE_inhibitor
MSETW,MSETW,ACE_inhibitor
NG,NG,ACE_inhibitor
QHVGVPSAAVG,QHVGVPSAAVG,ACE_inhibitor
RGEHYP,RGEHYP,ACE_inhibitor
RGNYMCDP,RGNYMCDP,ACE_inhibitor
RYTYMTHFA,RYTYMTHFA,ACE_inhibitor
SFSRD,SFSRD,ACE_inhibitor
SQDEQMVVHLW,SQDEQMVVHLW,ACE_inhibitor
