PepSeq,PepSeqDB,Bioactivity
ECKGASALDDRG,ECKGASALDDRG,Antioxidant
FFMSMESPPKVVW,FFMSMESPPKVVW,Antioxidant
GCTRCAFF,GCTRCAFF,Antioxidant
GDAM,GDAM,Antioxidant
GPPHKHIRVK,GPPHKHIRVK,Antioxidant
HDLKVCWFNVENNP,HDLKVCWFNVENNP,Antioxidant
ICYICGCSFMVQGEK,ICYICGCSFMVQGEK,Antioxidant
KVIWMMVICKNK,KVIWMMVICKNK,Antioxidant
MLLQKA,MLLQKA,Antioxidant
MVVCRQLVGLMEDTM,MVVCRQLVGLMEDTM,Antioxidant
MYIA,MYIA,Antioxidant
PMVMCLV,PMVMCLV,Antioxidant
QDWHWA,QDWHWA,Antioxidant
RQWSDR,RQWSDR,Antioxidant
SNVKNSDCINILSIPS,SNVKNSDCINILSIPS,Antioxidant
TCS,TCS,Antioxidant
THNKDNESGWVWY,THNKDNESGWVWY,Antioxidant
WNHRKTSPPCFRDY,WNHRKTSPPCFRDY,Antioxidant
WNQFADAGS,WNQFADAGS,Antioxidant
YVKTNFFV,YVKTNFFV,Antioxidant
