PepSeq,PepSeqDB,Bioactivity
ACNMEAW,ACNMEAW,dipeptidyl_peptidase_III_inhibitor
AMTQIVTKRHCK,AMTQIVTKRHCK,dipeptidyl_peptidase_III_inhibitor
DWIAQFRFVYW,DWIAQFRFVYW,dipeptidyl_peptidase_III_inhibitor
ELESIAGMKD,ELESIAGMKD,dipeptidyl_peptidase_III_inhibitor
FRAVS,FRAVS,dipeptidyl_peptidase_III_inhibitor
GHW,GHW,dipeptidyl_peptidase_III_inhibitor
HGQH,HGQH,dipeptidyl_peptidase_III_inhibitor
HYATHCTS,HYATHCTS,dipeptidyl_peptidase_III_inhibitor
KATDIAVTQTLH,KATDIAVTQTLH,dipeptidyl_peptidase_III_inhibitor
LADDTHMTF,LADDTHMTF,dipeptidyl_peptidase_III_inhibitor
MEEACNYAWHYA,MEEACNYAWHYA,dipeptidyl_peptidase_III_inhibitor
PPSVDEIQI,PPSVDEIQI,dipeptidyl_peptidase_III_inhibitor
QGAF,QGAF,dipeptidyl_peptidase_III_inhibitor
QSDSGFN,QSDSGFN,dipeptidyl_peptidase_III_inhibitor
RRDSR,RRDSR,dipeptidyl_peptidase_III_inhibitor
TCAIHG,TCAIHG,dipeptidyl_peptidase_III_inhibitor
TIFS,TIFS,dipeptidyl_peptidase_III_inhibitor
TIKRA,TIKRA,dipeptidyl_peptidase_III_inhibitor
WIDWKNYKVAKS,WIDWKNYKVAKS,dipeptidyl_peptidase_III_inhibitor
YMTWRHTVLCRE,YMTWRHTVLCRE,dipeptidyl_peptidase_III_inhibitor
