PepSeq,PepSeqDB,Bioactivity
EVGVCS,EVGVCS,immunoregulator
GRCNKL,GRCNKL,immunoregulator
HHRWMLDMKADAQPN,HHRWMLDMKADAQPN,immunoregulator
HPPSHLAK,HPPSHLAK,immunoregulator
HYAYYDCSTM,HYAYYDCSTM,immunoregulator
IMIS,IMIS,immunoregulator
LHYYQYRVP,LHYYQYRVP,immunoregulator
LQPAERAWQYHLCYL,LQPAERAWQYHLCYL,immunoregulator
NNVES,NNVES,immunoregulator
QDNEPKWRTSHHGIP,QDNEPKWRTSHHGIP,immunoregulator
QMQYPPDMSHY,QMQYPPDMSHY,immunoregulator
RPNDTRMDVYGVE,RPNDTRMDVYGVE,immunoregulator
SMMFFCQWSI,SMMFFCQWSI,immunoregulator
SYGMFSWLIRV,SYGMFSWLIRV,immunoregulator
TRMSSDYIITC,TRMSSDYIITC,immunoregulator
VNDALKDQGNVC,VNDALKDQGNVC,immunoregulator
WAMANNHTEQSIRRC,WAMANNHTEQSIRRC,immunoregulator
WMQEMNPHIM,WMQEMNPHIM,immunoregulator
YLKHVLW,YLKHVLW,immunoregulator
YQMEMIWLNEYKDIF,YQMEMIWLNEYKDIF,immunoregulator
