PepSeq,PepSeqDB,Bioactivity
ADRKSPPAF,ADRKSPPAF,stimulating
ASVHNTF,ASVHNTF,stimulating
CFSAHSND,CFSAHSND,stimulating
CTDKSNVQVTLQTWD,CTDKSNVQVTLQTWD,stimulating
DGNMSVP,DGNMSVP,stimulating
FSQ,FSQ,stimulating
GCRFDTY,GCRFDTY,stimulating
HAYIFLT,HAYIFLT,stimulating
KRRTFEK,KRRTFEK,stimulating
LTG,LTG,stimulating
NDISNHENQERAFLL,NDISNHENQERAFLL,stimulating
NMTPNIAVHIAY,NMTPNIAVHIAY,stimulating
PPTIQNMISSDLMCR,PPTIQNMISSDLMCR,stimulating
QDSVY,QDSVY,stimulating
RKV,RKV,stimulating
TNFERESFQCNGW,TNFERESFQCNGW,stimulating
VKYWPWY,VKYWPWY,stimulating
WEYWDLY,WEYWDLY,stimulating
WIECQCEDNHKHH,WIECQCEDNHKHH,stimulating
YRGFHAPVDKMA,YRGFHAPVDKMA,stimulating
