Bioactivity,nPepSeq
ACE_inhibitor,727
Antioxidant,226
dipeptidyl_peptidase_IV_inhibitor,123
NP,77
AMP,48
bitter_taste,26
hormone,19
dipeptidyl_peptidase_III_inhibitor,13
anticancer,11
Immunomodulator,10
immunoregulator,7
inhibitor,6
antithrombotic,5
stimulating,5
toxin,4
opioid,4
bacterial_permease_ligand,3
enzyme_inhibitor,3
Antho_RIamide,3
heavy-metal-binding,2
antiglycation,2
Thyroliberin,2
Tetrapandin,2
development_regulator,2
HMG-CoA_reductase_inhibitor,2
phylotaxis_regulator,2
Achatin,2
Beta_bungarotoxin_B_chain_precursor,1
binding,1
Bradykinin,1
CaMPDE_inhibitor,1
hypotensive,1
contracting,1
digestion_inhibitor,1
Egg_laying_hormone,1
embryotoxin,1
Fulicin,1
Hematopoietic_system_regulatory_peptide,1
hemolytic,1
hemopoietic,1
antireproductive,1
antiparasitic,1
alpha-amylase_inhibitor,1
aggregation_regulator,1
celiac_toxin,1
transporter,1
Thymosin_beta,1
immunostimulating,1
Metastasis_suppressor_KiSS,1
Rubellidin,1
mitogen,1
regulating,1
Neuroendocrine_secretory_protein_55,1
reductant,1
