Bioactivity,nPepSeq
dipeptidyl_peptidase_IV_inhibitor,3086
ACE_inhibitor,2579
Enzyme_inhibitor,1795
bitter_taste,748
NP,580
dipeptidyl_peptidase_III_inhibitor,443
Antioxidant,283
AMP,255
hypotensive,193
stimulating,161
antiparasitic,157
unknown,122
activating_ubiquitin-mediated_proteolysis,89
proteolysis_activator,89
antitumoral,74
antimalarial,74
Cysteine_proteinase_inhibitor,66
transporter,46
hormone,38
modulator,31
anticancer,30
anxiolytic-like_activity,29
CaMPDE_inhibitor,29
Cysteine_protease_inhibitor,27
Antitumor,22
antiglycation,16
regulating,16
heavy-metal-binding,13
immunoregulator,13
vasorelaxant,11
bacterial_permease_ligand,10
wide_spectrum_of_activity,8
antiplasmodial,8
antiamnestic,7
antithrombotic,7
enzyme_substrate,6
proliferation_stimulator,5
Immunomodulator,5
alpha-glucosidase_inhibitor,4
memory_regulator,2
