PepSeq,PepSeqDB,Bioactivity
ASVGR,ASVGR,bitter_taste
CAFEDYND,CAFEDYND,bitter_taste
CERVMGTY,CERVMGTY,bitter_taste
DGEGRYSW,DGEGRYSW,bitter_taste
EP,EP,bitter_taste
EWTKSLN,EWTKSLN,bitter_taste
FQ,FQ,bitter_taste
GL,GL,bitter_taste
HP,HP,bitter_taste
IQLKS,IQLKS,bitter_taste
KDISCY,KDISCY,bitter_taste
KHTGGGCA,KHTGGGCA,bitter_taste
KRK,KRK,bitter_taste
LKWFQWNC,LKWFQWNC,bitter_taste
LRTWNDTRN,LRTWNDTRN,bitter_taste
SA,SA,bitter_taste
SYIMHIWR,SYIMHIWR,bitter_taste
TY,TY,bitter_taste
VRTLN,VRTLN,bitter_taste
WIVYD,WIVYD,bitter_taste
