PepSeq,PepSeqDB,Bioactivity
AHRDGYYQDQKEHR,AHRDGYYQDQKEHR,inhibitor
EET,EET,inhibitor
EETGEFQH,EETGEFQH,inhibitor
GLGQPNAVTIYM,GLGQPNAVTIYM,inhibitor
ISIACLNPWLP,ISIACLNPWLP,inhibitor
MRQALPKGWD,MRQALPKGWD,inhibitor
NFKVW,NFKVW,inhibitor
NWTPK,NWTPK,inhibitor
PCCIFTWET,PCCIFTWET,inhibitor
PQRAR,PQRAR,inhibitor
QDRA,QDRA,inhibitor
QMYGHADYTFY,QMYGHADYTFY,inhibitor
QSSMM,QSSMM,inhibitor
QTTKFEREG,QTTKFEREG,inhibitor
SDAPGDH,SDAPGDH,inhibitor
SHRFDPM,SHRFDPM,inhibitor
SMIY,SMIY,inhibitor
VYGTKVRCDTK,VYGTKVRCDTK,inhibitor
YIHPNDLGWD,YIHPNDLGWD,inhibitor
YINDTSMVDFI,YINDTSMVDFI,inhibitor
