id,Bioactivity
434,Abaecin
483,Acanthoscurrin
786,accelerating
462,Accessory_gland_peptide_Acp33A
302,Accessory_gland_protein_26Ab
198,Accessory_gland_protein_62
511,Accessory_gland_protein_98
169,Accessory_gland_specific_peptide_26Aa
281,Accessory_gland_specific_peptide_70A
40,ACE_inhibitor
239,Achatin
339,Acrorhagin
522,activator_of_gene_expression
103,Adipokinetic_hormone
596,Adipokinetic_hormone_hormone
755,Adipokinetic_hormone_hormone_1
723,Adipokinetic_hormone_hormone_2
777,Adipokinetic_hormone_hormone_3
756,Adipokinetic_hormone_hormone_G
56,Adrenomedullin
220,aestivation_regulator
292,aggregation_regulator
54,Agouti
372,AlCRP
124,Allatotropin
488,allergen
335,allergic
465,Alpha_A_conotoxin
94,Alpha_conotoxin
359,Alpha_D_conotoxin
445,Alpha_S_conotoxin
375,alpha-amylase_inhibitor
753,Alpha-bag_cell_peptide
770,Alpha-CDCP
409,alpha-glucosidase_inhibitor
1,AMP
164,Amphiregulin
691,analgesic
337,Androgenic_gland_hormone
495,Androgenic_gland_hormone_A_chain
398,Androgenic_gland_hormone_B_chain
141,Anenome_neurotoxin
525,angiogenic
48,Angiotensin_like_peptide
360,Anionic_peptide_clone_precursor
787,anorectic
803,anorexic
766,Antho_RIamide
429,anti_inflammatory
154,anti_lipopolysaccharide_factor
761,antiallergen
358,antiamnestic
748,antiamoebiasis
255,antiangiogenesis
699,antiangiogenic
102,antibiofilm
233,antibiotic
9,anticancer
607,antichaperone
636,antidiuretic_factor
720,Antidiuretic_factor_A
721,Antidiuretic_factor_B
261,antidote
112,antifreeze
225,antifreeze_glycoprotein_AFGP
113,antifreeze_protein_1
139,antifreeze_protein_AFP_2
166,antifreeze_protein_type_IV
597,antihypertensive
157,anti-inflammatory
521,antiinsecticidal
563,antimalaraial
95,antimalarial
231,antioncogenic
46,Antioxidant
18,antiparasitic
700,antiproliferative
228,Antiprotozoal
804,antireproductive
197,antithrombotic
216,antitoxin
719,antitrypanosomic
88,Antitumor
796,antitumoral
298,antiyeast
722,anxiolytic_activity
242,Apelin
548,apidaecin
523,apoptosis
771,apoptosis_inductor
788,apoptosis_inhibitor
575,apoptosis_regulator
416,aptotoxin
330,Aptotoxin_1_4_6_9_Paralytic_peptide
626,Arenicin
85,ARMET
627,Atriopeptin
43,Attacin
317,Attractin
628,Auriculin-A
608,Auriculin-B
733,bacteria_growth_stimulator
800,bacterial_permease_ligand
206,behavior_regulator
272,Beta_bungarotoxin_B_chain_precursor
790,Beta-1-CDCP
791,Beta-2-CDCP
792,Beta-3-CDCP
793,Beta-bag_cell_peptide
356,Beta-endorphin
576,Beta-endorphin_1
582,Beta-endorphin_2
310,Big_gastrin
780,bile_acid-binding
446,bind_various_heavy_metals
276,binding
678,Bioactive_peptide
299,biosynthesis_activator
354,biosynthesis_inhibitor
323,bitter_taste
77,Bombesin
458,Bombolitin
657,Bombyxin_A-1_A_chain
583,Bombyxin_A-1_B_chain
658,Bombyxin_A-2_A_chain
592,Bombyxin_A-2_B_chain
659,Bombyxin_A-3_A_chain
584,Bombyxin_A-3_B_chain
