Bioactivity,nPepSeq
AMP,104226
NP,43274
TGF_beta,21407
Small_cytokines,20353
Fibrinogen_alpha_1_chain_precursor,18957
Insulin,18744
hormone,18391
Somatotropin,17453
anticancer,17235
toxin,16798
HBGF_FGF,14477
Conotoxin,11680
Glycoprotein_hormones_beta_chain,10440
Platelet_derived_growth_factor,9569
Interleukin_1,9376
Natriuretic_peptides,9240
hemolytic,8452
antiparasitic,7977
Glucagon_GIP_secretin_VIP,7506
Putative_peptide,7371
Scorpion_toxin,7143
Snake_toxins,7078
Interleukin_10,6922
Heparin_binding_epidermal_growth_factor,6702
Granins,6563
Nerve_growth_factor,6338
Gonadotropin_releasing_hormones,6120
Interleukin_6,6075
Neurohypophysial_hormones,5634
enzyme_inhibitor,5406
Hepatoma_derived_growth_factor,5131
Gastrin_cholecystokinin,5097
Gremlin,5086
latrotoxin,5036
Interleukin_17,5030
Corticotropin_releasing_factor,4731
Chemotactic,4528
Interleukin_4_13,4509
Neuregulin,4398
ACE_inhibitor,4339
Cathelicidins,4182
Bradykinin,4149
Attacin,4145
Pancreatic_hormone,4005
Glycoprotein_hormones_alpha_chain,3946
Antioxidant,3919
Interleukin_15,3904
Angiotensin_like_peptide,3810
Erythropoietin_thrombopoeitin,3764
Transthyretin,3763
Parathyroid_hormone,3758
Calcitonin_CGRP_IAPP,3755
Pyrokinins,3608
Agouti,3600
Somatostatin,3518
Adrenomedullin,3517
Prolactin,3471
Granulins,3395
Interleukin_2,3382
PTN_MK_heparin_binding,3241
Cecropin,3233
Leptin,3222
Ghrelin_hormone_and_Motilin_related_peptide,3135
Stanniocalcin,3087
Neurexophilin,3028
Interleukin_12_alpha,3012
Granulocyte_macrophage_colony_stimulating_factor,2698
SNTX_VTX_toxin,2586
Endothelin,2545
Thymosin_beta,2488
Thyroliberin,2443
Urotensin_II,2438
Interleukin_7_9,2376
Interleukin_11,2347
FAM3,2316
Receptivity_factor,2312
Bombesin,2279
Jellyfish_toxin,2256
Osteopontin,2209
Hepcidin,2188
LIF_OSM,2171
Nitrophorin,2165
immunoregulator,2139
L71,2086
ARMET,2043
Resistin,1996
Pacifastin_related_peptide,1991
Antitumor,1990
Guanylin,1959
Mu_agatoxin_and_spider_toxin_SFI,1954
Muellerian-inhibiting_factor,1923
Cerebellin,1906
Interleukin_3,1896
Alpha_conotoxin,1886
antimalarial,1857
pheromone,1846
GMF_beta,1820
Pro_MCH,1798
Cocaine_and_amphetamine_regulated_transcript_protein,1780
Insecticidal,1711
Pigment_dispersing_hormone,1708
antibiofilm,1698
Adipokinetic_hormone,1688
Bursicon,1661
xin_PsTX_60,1660
Interleukin_21,1647
DNA-binding,1643
pleurocidin,1607
Prokineticin,1607
Spatzle,1603
Cardioactive_peptide,1600
antifreeze,1588
antifreeze_protein_1,1586
Galanin,1585
Interleukin_5,1576
Nasal_embryonic_luteinizing_hormone_releasing_hormone_factor,1564
Gloverin,1545
Neuromedin_U_S,1545
Luteinizing_hormone_subunit_beta,1484
Trefoil_factor,1477
Neurosecretory_protein_VGF,1429
Omega-agatoxin,1414
Submaxillary_gland_androgen_regulated_protein,1414
Allatotropin,1412
development_regulator,1393
Salivary_glue_protein,1382
Interleukin_28_29,1315
Growth_factor_ARC,1308
Lipotropin_beta,1284
Ciliary_neurotrophic_factor,1266
Nasal_embryonic_luteinizing_hormone-releasing_hormone_factor,1239
Corazonin,1220
Eclosion_hormone,1204
stress_response,1203
Cholecystokinin,1198
cytotoxin,1171
Stromal_cell_derived_growth_factor,1155
uteroglobin,1153
antifreeze_protein_AFP_2,1137
Egg_laying_hormone,1119
Anenome_neurotoxin,1114
Immune_induced_peptide_precursor,1094
Orexin,1088
RALF,1084
stimulating_different_activities,1084
Lipotropin_gamma,1064
peptide_precursor,1062
Granulysin_NK_lysin_like,1046
Interleukin_16,1028
Spider_toxin,1011
GBP_PSP1_paralytic,1010
Neuroendocrine_protein_7B2,1007
Growth_hormone,997
anti_lipopolysaccharide_factor,977
GGNG_myoactive_peptide,965
peptide_potentiator,965
anti-inflammatory,964
Long_chain_potassium_channel_inhibitor_scorpion_toxin,956
Neurotensin_neuromedin_N,955
coagulation_regulator,948
Moricin,941
Penaeidin,941
dipeptidyl_peptidase_IV_inhibitor,931
Amphiregulin,922
celiac_toxin,919
antifreeze_protein_type_IV,917
Chorionicgonadotropic_hormone-like_protein,912
Colipase,912
Accessory_gland_specific_peptide_26Aa,905
Hydralysin,902
chaperone,900
Follicle-stimulating_hormone_beta_subunit,898
giant-lens,873
ProSAAS,865
Neuroendocrine_secretory_protein_55,859
Thyroid-stimulating_hormone_subunit_beta,858
Drosomycin_like,838
Chorionic_somatomammotropin_hormone,835
Prolactin-3B1,830
wound_healing,806
Crustacean_hyperglycemic_hormone,804
Insulin_growth_factor_like,782
Molt-inhibiting_hormone,780
Omega-Atracotoxin,780
Pleurin,777
Protein_C12orf39,777
ribonucleoprotein,764
Metastasis_suppressor_KiSS,762
Coagulogen,754
Lebocin,743
Orcokinin,742
cytolytic,736
IL_27_p28_subunit,736
Spermicidal,731
Tuberoinfundibular_peptide,721
ligand_binding,716
antithrombotic,714
Accessory_gland_protein_62,712
Crustin_like_peptide,709
Phosphatidylethanolamine_binding_protein,703
stimulating,693
Prolactin-3D1,689
Coleoptericin,688
Leucokinin,684
lytic,683
behavior_regulator,682
xin_TxP_I,680
Neuroparsin,679
enzyme_activator,674
Immunomodulator,670
Insulin_B_chain,662
Microplusin,655
Prothoracicotropic_hormone_precursor,654
Nematode_specific_peptide_family_group_b,652
Growth_hormone_variant,650
antitoxin,641
Immune_induced_peptides_13,637
diuretic_hormone_class_II,615
Sodefrin,608
aestivation_regulator,604
Interleukin_31,601
Relaxin_B_chain,601
opioid,595
Salivary_anti_thrombin_anophelin,591
antifreeze_glycoprotein_AFGP,585
Ecdysis_triggering_hormone,579
Hemiptericin,571
Antiprotozoal,567
Putative_peptide2,567
Termicin,550
antioncogenic,544
Neurotoxin_magi,539
antibiotic,537
Hym_preprohormone,533
Myomodulin,530
Small_cardioactive_peptide,526
membrane_-active_peptide,512
Glucagon,511
Achatin,504
Osteocrin,502
vespryn,497
Apelin,496
VEGF_co_regulated_chemokine_1,496
cGMP_activator,494
Prolactin-8A7,484
Growth_hormone_2,483
Cytin_A_chain,482
Prolactin-8A5,480
Gambicin,479
Glucagon-like_peptide_2,471
Cysteine_rich_peptide,470
Prolactin-8A4,469
trunk_protein,467
Nematode_specific_peptide_family_group_c,461
antiangiogenesis,458
Insulin_A_chain,454
Chorionic_somatomammotropin_hormone_2,450
Chorionic_somatomammotropin_hormone_1,447
Relaxin_A_chain,437
sperm_activator,436
antidote,433
latarcin,431
inhibitor,429
cAMP_generating,428
ProlactinC4,425
Prolactin-3D4,423
ProlactinC2,422
ProlactinC3,422
SPTR_prohormone,421
CaMKII_Inhibitor,417
Fibrosin,416
Beta_bungarotoxin_B_chain_precursor,413
Chorionic_somatomammotropin_hormone-like_1,400
Mytilin,394
Ergtoxin,391
binding,390
Glicentin,390
feeding_circuit-activating,389
mitogen,389
IL_6_subfamily_like_cytokine_M17,386
Accessory_gland_specific_peptide_70A,385
VD1_RPD2_alpha_peptide,385
Mastoparan,383
protein-binding,380
Crustacean_hyperglycemic_hormone_B,378
regulating,377
Corticotropin,373
Delta_atracotoxin,371
Cholecystokinin-58,370
sea_anemone_BDS_toxin,367
Pyrrhocoricin,366
aggregation_regulator,364
sea_anemone_potassium_channel_inhibitory_toxin,364
Growth_hormone-releasing_factor,363
sporulation_participant,362
Channel_inhibitors,361
enzyme,361
antiyeast,359
biosynthesis_activator,354
Glycoprotein_hormone_alpha-2,349
Buccalin,344
Accessory_gland_protein_26Ab,341
Calcitonin,340
Ovarian_ecdysteroidogenic_hormone,336
Proctolin,333
xin_protein_KITx,330
Probable_molt-inhibiting_hormone,326
Potassium_channel_toxin_alpha_KTx,321
grammistin,319
Big_gastrin,318
Gastrin,318
Glucagon-like_peptide,315
huwentoxin_2,312
Gallerimycin,309
Insecticidal_toxin_DTX,308
Somatoliberin,307
Attractin,305
