Bioactivity,nPepSeq
ACE_inhibitor,6006904
dipeptidyl_peptidase_IV_inhibitor,6017018
Enzyme_inhibitor,5892658
bitter_taste,5545763
NP,4837262
dipeptidyl_peptidase_III_inhibitor,4387260
AMP,3911965
Antioxidant,3370784
stimulating,2683749
antiparasitic,2518283
antimalarial,1826697
antitumoral,1826697
hypotensive,1944349
transporter,1893942
activating_ubiquitin-mediated_proteolysis,1861922
proteolysis_activator,1861922
hormone,1299755
antithrombotic,1053879
regulating,1132147
antiamnestic,1036410
Cysteine_proteinase_inhibitor,968834
immunoregulator,698387
memory_regulator,642779
cell_growth_stimulator,580647
anticancer,469080
modulator,403269
anxiolytic-like_activity,390008
CaMPDE_inhibitor,379662
wide_spectrum_of_activity,298363
Antitumor,282846
Immunomodulator,244305
Cysteine_protease_inhibitor,263613
proliferation_stimulator,198796
inhibitor,151360
bacterial_permease_ligand,149447
immunostimulating,156162
vasorelaxant,143800
antiglycation,139432
antiplasmodial,137943
alpha-glucosidase_inhibitor,121220
heavy-metal-binding,103919
HMG-CoA_reductase_inhibitor,89203
Proteolytic,80068
opioid,66273
development_regulator,48129
enzyme_substrate,43036
Neurohypophysial_hormones,39792
Chemotactic,39034
anorexic,38001
toxin,37234
Thyroliberin,33350
celiac_toxin,26969
embryotoxin,20173
immune_system_stimulation,15328
antireproductive,12816
Neuroendocrine_secretory_protein_55,10824
phylotaxis_regulator,9910
reductant,9495
receptor_ligand,7767
Omega-agatoxin,7670
binding,6734
hemopoietic,5871
Antho_RIamide,4857
contracting,4703
aggregation_regulator,2838
Thymosin_beta,2622
Achatin,2499
antihypertensive,1495
Metastasis_suppressor_KiSS,1360
opioid_agonist,1008
Hematopoietic_system_regulatory_peptide,876
Hemolytic,790
Tetrapandin,697
enzyme_activator,523
alpha-amylase_inhibitor,443
Protein_Kinase_C_inhibitor,466
reacting,465
opioid_antagonist,462
Calcitonin_CGRP_IAPP,432
Egg_laying_hormone,404
radioprotective,396
Immunomodulant,377
digestion_inhibitor,348
anorectic,334
Beta-2-CDCP,325
Beta_bungarotoxin_B_chain_precursor,324
Histatin,260
Bradykinin,242
anti-inflammatory,215
anti_inflammatory,207
pheromone,182
Fulicin,166
Prokineticin,160
analgesic,122
Rubellidin,103
mitogen,96
Gastrin_cholecystokinin,52
Gamma-bag_cell_peptide,47
Proctolin,43
accelerating,33
platelet_aggregation_inhibitor,28
hemotactic,27
protein_inhibitor,25
peptide_inhibitor,18
Met-enkephalin,18
Beta-3-CDCP,15
strepogenin_activity,13
Neurotensin_neuromedin_N,12
Beta-1-CDCP,6
Beta-bag_cell_peptide,6
