Bioactivity,Fullname
AMP,Antimicrobial Peptides
NP,Neptunium
TGF_beta,Transforming growth factor beta
Small_cytokines,
Fibrinogen_alpha_1_chain_precursor,
Insulin,
hormone,
Somatotropin,
anticancer,
toxin,
HBGF_FGF,
Conotoxin,
Glycoprotein_hormones_beta_chain,
Platelet_derived_growth_factor,
Interleukin_1,
Natriuretic_peptides,
hemolytic,
antiparasitic,
Glucagon_GIP_secretin_VIP,
Putative_peptide,
Scorpion_toxin,
Snake_toxins,
Interleukin_10,
Heparin_binding_epidermal_growth_factor,
Granins,
Nerve_growth_factor,
Gonadotropin_releasing_hormones,
Interleukin_6,
Neurohypophysial_hormones,
enzyme_inhibitor,
Hepatoma_derived_growth_factor,
Gastrin_cholecystokinin,
Gremlin,
latrotoxin,
Interleukin_17,
Corticotropin_releasing_factor,
Chemotactic,
Interleukin_4_13,
Neuregulin,
ACE_inhibitor,
Cathelicidins,
Bradykinin,
Attacin,
Pancreatic_hormone,
Glycoprotein_hormones_alpha_chain,
Antioxidant,
Interleukin_15,
Angiotensin_like_peptide,
Erythropoietin_thrombopoeitin,
Transthyretin,
Parathyroid_hormone,
Calcitonin_CGRP_IAPP,
Pyrokinins,
Agouti,
Somatostatin,
Adrenomedullin,
Prolactin,
Granulins,
Interleukin_2,
PTN_MK_heparin_binding,
Cecropin,
Leptin,
Ghrelin_hormone_and_Motilin_related_peptide,
Stanniocalcin,
Neurexophilin,
Interleukin_12_alpha,
Granulocyte_macrophage_colony_stimulating_factor,
SNTX_VTX_toxin,
Endothelin,
Thymosin_beta,
Thyroliberin,
Urotensin_II,
Interleukin_7_9,
Interleukin_11,
FAM3,
Receptivity_factor,
Bombesin,
Jellyfish_toxin,
Osteopontin,
Hepcidin,
LIF_OSM,
Nitrophorin,
immunoregulator,
L71,
ARMET,
Resistin,
Pacifastin_related_peptide,
Antitumor,
Guanylin,
Mu_agatoxin_and_spider_toxin_SFI,
Muellerian-inhibiting_factor,
Cerebellin,
Interleukin_3,
Alpha_conotoxin,
antimalarial,
pheromone,
GMF_beta,
Pro_MCH,
Cocaine_and_amphetamine_regulated_transcript_protein,
Insecticidal,
Pigment_dispersing_hormone,
antibiofilm,
Adipokinetic_hormone,
Bursicon,
xin_PsTX_60,
Interleukin_21,
DNA-binding,
pleurocidin,
Prokineticin,
Spatzle,
Cardioactive_peptide,
antifreeze,
antifreeze_protein_1,
Galanin,
Interleukin_5,
Nasal_embryonic_luteinizing_hormone_releasing_hormone_factor,
Gloverin,
Neuromedin_U_S,
Luteinizing_hormone_subunit_beta,
Trefoil_factor,
Neurosecretory_protein_VGF,
Omega-agatoxin,
Submaxillary_gland_androgen_regulated_protein,
Allatotropin,
development_regulator,
Salivary_glue_protein,
Interleukin_28_29,
Growth_factor_ARC,
Lipotropin_beta,
Ciliary_neurotrophic_factor,
Nasal_embryonic_luteinizing_hormone-releasing_hormone_factor,
Corazonin,
Eclosion_hormone,
stress_response,
Cholecystokinin,
cytotoxin,
Stromal_cell_derived_growth_factor,
uteroglobin,
antifreeze_protein_AFP_2,
Egg_laying_hormone,
Anenome_neurotoxin,
Immune_induced_peptide_precursor,
Orexin,
RALF,
stimulating_different_activities,
Lipotropin_gamma,
peptide_precursor,
Granulysin_NK_lysin_like,
Interleukin_16,
Spider_toxin,
GBP_PSP1_paralytic,
Neuroendocrine_protein_7B2,
Growth_hormone,
anti_lipopolysaccharide_factor,
GGNG_myoactive_peptide,
peptide_potentiator,
anti-inflammatory,
Long_chain_potassium_channel_inhibitor_scorpion_toxin,
